Nume,Link
"Laptop Gaming HP VICTUS 15-fa0004nq cu procesor Intel® Core™ i7-12700H pana la 4.70 GHz, 15.6 FHD IPS, 16GB DDR4, 512GB PCIe SSD, Nvidia GeForce RTX 3050 Ti 4GB, FreeDOS, Mica Silver",https://www.emag.ro/laptop-gaming-hp-victus-15-fa0004nq-cu-procesor-intelr-coretm-i7-12700h-pana-la-4-70-ghz-15-6-fhd-ips-16gb-ddr4-512gb-pcie-ssd-nvidia-geforce-rtx-3050-ti-4gb-freedos-mica-silver-6m2x2ea/pd/DJ5QPZMBM/
"Laptop ultraportabil Lenovo Yoga 7 14ARB7 cu procesor AMD Ryzen™ 7 6800U, 14"", 2.8K, OLED, 16GB, 512GB SSD, AMD Radeon 680M Graphics, Windows 11 Home, Stone Blue, 3y on-site, Premium Care",https://www.emag.ro/laptop-ultraportabil-lenovo-yoga-7-14arb7-cu-procesor-amd-ryzentm-7-6800u-14-2-8k-oled-16gb-512gb-ssd-amd-radeon-680m-graphics-windows-11-home-stone-blue-3y-on-site-premium-care-82qf0056rm/pd/DFVPCZMBM/
"Laptop Lenovo V15 G2 ALC cu procesor AMD Ryzen 5 5500U pana la 4.00 GHz, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon Graphics, No OS, Black",https://www.emag.ro/laptop-lenovo-v15-g2-alc-cu-procesor-amd-ryzen-5-5500u-pana-la-4-00-ghz-15-6-full-hd-8gb-512gb-ssd-amd-radeon-graphics-no-os-black-82kd0043rm/pd/D1K5X0MBM/
"Laptop Gaming ASUS ROG Strix SCAR 15 cu procesor Intel® Core™ i9-12900H pana la 5.00 GHz, 15.6"", Full HD, 300Hz, 32GB DDR5, 1TB PCIe® 4.0 NVMe™ M.2, NVIDIA® GeForce RTX™ 3080 Ti 16GB GDDR6, No OS",https://www.emag.ro/laptop-gaming-asus-rog-strix-scar-15-cu-procesor-intelr-coretm-i9-12900h-pana-la-5-00-ghz-15-6-full-hd-300hz-32gb-ddr5-1tb-pcier-4-0-nvmetm-m-2-nvidiar-geforce-rtxtm-3080-ti-16gb-gddr6-no-os-g533zx-hf/pd/DQ1V14MBM/
"Laptop Lenovo IdeaPad 3 15ALC6 cu procesor AMD Ryzen™ 3 5300U pana la 3.80 GHz, 15.6"", Full HD, IPS, 4GB, 128GB SSD, AMD Radeon™ Graphics, Windows 11 Home S, Abyss Blue",https://www.emag.ro/laptop-lenovo-ideapad-3-15alc6-cu-procesor-amd-ryzentm-3-5300u-pana-la-3-80-ghz-15-6-full-hd-ips-4gb-128gb-ssd-amd-radeontm-graphics-windows-11-home-s-abyss-blue-82ku0195rm/pd/D32B5LMBM/
"Laptop LG Gram 16Z90Q cu procesor Intel Core i7-1260P, 16"" WQXGA (2560*1600), 16GB DDR5, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home Plus, Obsidian Black",https://www.emag.ro/laptop-lg-gram-16z90q-cu-procesor-intel-core-i7-1260p-16-wqxga-2560-1600-16gb-ddr5-512gb-ssd-intel-iris-xe-graphics-windows-11-home-plus-obsidian-black-16z90q-g-aa75h1/pd/DZ7054MBM/
"Laptop ASUS VivoBook Pro 16 K6602ZE cu procesor Intel® Core™ i7-12700H pana la 4.70 GHz, 16'', WQXGA, IPS, 16GB, 1 TB SSD, NVIDIA® GeForce® RTX™ 3050 Ti 4GB, Windows 11 Pro, Quiet Blue",https://www.emag.ro/laptop-asus-vivobook-pro-16-k6602ze-cu-procesor-intelr-coretm-i7-12700h-pana-la-4-70-ghz-16-wqxga-ips-16gb-1-tb-ssd-nvidiar-geforcer-rtxtm-3050-ti-4gb-windows-11-pro-quiet-blue-k6602ze-kv040x/pd/D14WBQMBM/
"Laptop ASUS P1512CEA Procesor Intel® Pentium® Gold 7505 pana la 3.50 GHz, 15.6"" Full HD, 4GB, 128GB SSD, Intel® UHD Graphics, Windows 11 Pro, Slate Grey",https://www.emag.ro/laptop-asus-p1512cea-procesor-intelr-pentiumr-gold-7505-pana-la-3-50-ghz-15-6-full-hd-4gb-128gb-ssd-intelr-uhd-graphics-windows-11-pro-slate-grey-p1512cea-bq0807x/pd/DKXM1QMBM/
"Laptop Acer Aspire A517-52 cu procesor Intel® Core™ i7-1165G7, 17.3"" FHD IPS, 24GB DDR4, 512GB SSD, Intel® Iris® Xe Graphics, No OS, Silver",https://www.emag.ro/laptop-acer-aspire-a517-52-cu-procesor-intelr-coretm-i7-1165g7-17-3-fhd-ips-24gb-ddr4-512gb-ssd-intelr-irisr-xe-graphics-no-os-silver-nx-a5cex-009/pd/D82KLZMBM/
"Laptop ultraportabil Lenovo Yoga 7 14IAL7 cu procesor Intel® Core™ i5-1240P pana la 4.40 GHz, 14"", 2.8K, OLED, Touch, 16GB, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Storm Grey, 3y on-site, Premium Care",https://www.emag.ro/laptop-ultraportabil-lenovo-yoga-7-14ial7-cu-procesor-intelr-coretm-i5-1240p-pana-la-4-40-ghz-14-2-8k-oled-touch-16gb-512gb-ssd-intel-iris-xe-graphics-windows-11-home-storm-grey-3y-on-site-premium-car/pd/DSKCD1MBM/
