Nume,Link
"Laptop HP 15s-fq3007nq, Intel Celeron N4500 pana la 2.8GHz, 15.6"" HD, 4GB, SSD 256GB, Intel UHD Graphics, Windows 11 Home, Spruce Blue",https://altex.ro/laptop-hp-15s-fq3007nq-intel-celeron-n4500-pana-la-2-8ghz-15-6-hd-4gb-ssd-256gb-intel-uhd-graphics-windows-11-home-spruce-blue/cpd/LAP5D4R1EA/
"Laptop APPLE MacBook Pro 13 mnej3ze/a, Apple M2, 13.3"" Retina Display si Touch Bar, 8GB, SSD 512GB, 10-core GPU, macOS Monterey, Space Gray - Tastatura layout INT",https://altex.ro/laptop-apple-macbook-pro-13-mnej3ze-a-apple-m2-13-3-retina-display-si-touch-bar-8gb-ssd-512gb-10-core-gpu-macos-monterey-space-gray-tastatura-layout-int/cpd/LAPMNEJ3ZEA/
"Laptop Gaming ASUS ROG Strix G15 G513RC-HN106, AMD Ryzen 7 6800H pana la 4.7GHz, 15.6"", 8GB, SSD 512GB, NVIDIA GeForce RTX 3050 4GB, Free Dos, Volt Green",https://altex.ro/laptop-gaming-asus-rog-strix-g15-g513rc-hn106-amd-ryzen-7-6800h-pana-la-4-7ghz-15-6-8gb-ssd-512gb-nvidia-geforce-rtx-3050-4gb-free-dos-volt-green/cpd/LAPG513RCHN106/
"Laptop Gaming ACER Nitro 5 AN515-45-R7YG, AMD Ryzen 5 5600H pana la 4.2GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 3050 4GB, Free DOS, negru",https://altex.ro/laptop-gaming-acer-nitro-5-an515-45-r7yg-amd-ryzen-5-5600h-pana-la-4-2ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-rtx-3050-4gb-free-dos-negru/cpd/LAPNHQBAEX00F/
"Laptop Gaming ASUS TUF A15 FA506IHRB-HN089, AMD Ryzen 5 4600H pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 1TB, NVIDIA GeForce GTX 1650 4GB, Free DOS, negru",https://altex.ro/laptop-gaming-asus-tuf-a15-fa506ihrb-hn089-amd-ryzen-5-4600h-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-1tb-nvidia-geforce-gtx-1650-4gb-free-dos-negru/cpd/LAPFA506IHHN089/
"Laptop HP 15s-eq2007nq, AMD Ryzen 7 5700U pana la 4.3GHz, 15.6"" Full HD, 16GB, SSD 512GB, AMD Radeon Graphics, Free DOS, argintiu",https://altex.ro/laptop-hp-15s-eq2007nq-amd-ryzen-7-5700u-pana-la-4-3ghz-15-6-full-hd-16gb-ssd-512gb-amd-radeon-graphics-free-dos-argintiu/cpd/LAP4Q7D6EA/
"Laptop ASUS VivoBook 15 OLED K513EA-L12097, Intel Core i5-1135G7 pana la 4.2GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel Iris Xe, Free DOS, negru",https://altex.ro/laptop-asus-vivobook-15-oled-k513ea-l12097-intel-core-i5-1135g7-pana-la-4-2ghz-15-6-full-hd-16gb-ssd-512gb-intel-iris-xe-free-dos-negru/cpd/LAPK513EAL12097/
"Laptop HP 15s-eq3018nq, AMD Ryzen 5 5625U pana la 4.3GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Free Dos, argintiu",https://altex.ro/laptop-hp-15s-eq3018nq-amd-ryzen-5-5625u-pana-la-4-3ghz-15-6-full-hd-8gb-ssd-512gb-amd-radeon-graphics-free-dos-argintiu/cpd/LAP6M2E6EA/
"Laptop ASUS Vivobook 15 X1502ZA-BQ844, Intel Core i3-1220P pana la 4.4GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Free Dos, Quiet Blue",https://altex.ro/laptop-asus-vivobook-15-x1502za-bq844-intel-core-i3-1220p-pana-la-4-4ghz-15-6-full-hd-8gb-ssd-512gb-intel-uhd-graphics-free-dos-quiet-blue/cpd/LAPX1502ZABQ844/
"Laptop APPLE MacBook Pro 16 mk183ze/a, Apple M1 Pro, 16.2"" Liquid Retina XDR, 16GB, SSD 512GB, Grafica integrata, macOS Monterey, Space Gray - Tastatura layout INT",https://altex.ro/laptop-apple-macbook-pro-16-mk183ze-a-apple-m1-pro-16-2-liquid-retina-xdr-16gb-ssd-512gb-grafica-integrata-macos-monterey-space-gray-tastatura-layout-int/cpd/LAPMK183ZEA/
"Laptop APPLE MacBook Pro 13 mneh3ze/a, Apple M2, 13.3"" Retina Display si Touch Bar, 8GB, SSD 256GB, 10-core GPU, macOS Monterey, Space Gray - Tastatura layout INT",https://altex.ro/laptop-apple-macbook-pro-13-mneh3ze-a-apple-m2-13-3-retina-display-si-touch-bar-8gb-ssd-256gb-10-core-gpu-macos-monterey-space-gray-tastatura-layout-int/cpd/LAPMNEH3ZEA/
"Laptop Gaming ASUS ROG Strix G15 G513RM-HF187, AMD Ryzen 7 6800H pana la 4.7GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 3060 6GB, Free Dos, Eclipse Gray",https://altex.ro/laptop-gaming-asus-rog-strix-g15-g513rm-hf187-amd-ryzen-7-6800h-pana-la-4-7ghz-15-6-full-hd-16gb-ssd-1tb-nvidia-geforce-rtx-3060-6gb-free-dos-eclipse-gray/cpd/LAPG513RMHF187/
"Laptop 2 in 1 ASUS ZenBook Flip 13 OLED UX363EA-HP521X, Intel Core i7-1165G7 pana la 4.7Ghz, 13.3"" Full HD Touch, 16GB, SSD 1TB, Intel Iris Xe, Windows 10 Pro, gri",https://altex.ro/laptop-2-in-1-asus-zenbook-flip-13-oled-ux363ea-hp521x-intel-core-i7-1165g7-pana-la-4-7ghz-13-3-full-hd-touch-16gb-ssd-1tb-intel-iris-xe-windows-10-pro-gri/cpd/LAPUX363EHP521X/
"Laptop Gaming LENOVO Legion 5 Pro 16IAH7H, Intel Core i5-12500H pana la 4.5GHz, 16"" WQXGA, 16GB, SSD 512GB, NVIDIA GeForce RTX 3060 6GB, Free Dos, Glacier White",https://altex.ro/laptop-gaming-lenovo-legion-5-pro-16iah7h-intel-core-i5-12500h-pana-la-4-5ghz-16-wqxga-16gb-ssd-512gb-nvidia-geforce-rtx-3060-6gb-free-dos-glacier-white/cpd/LAP82RF009NRM/
"Laptop APPLE MacBook Air 13 mlxw3ze/a, Apple M2, 13.6"" Retina Display, 8GB, SSD 256GB, 8-core GPU, macOS Monterey, Space Gray, Tastatura layout INT",https://altex.ro/laptop-apple-macbook-air-13-mlxw3ze-a-apple-m2-13-6-retina-display-8gb-ssd-256gb-8-core-gpu-macos-monterey-space-gray-tastatura-layout-int/cpd/LAPMLXW3ZEA/
"Laptop DELL Inspiron 15 5515, AMD Ryzen 7 5700U pana la 4.3GHz, 15.6"" Full HD, 16GB, SSD 512GB, AMD Radeon Graphics, Windows 11 Home, argintiu",https://altex.ro/laptop-dell-inspiron-15-5515-amd-ryzen-7-5700u-pana-la-4-3ghz-15-6-full-hd-16gb-ssd-512gb-amd-radeon-graphics-windows-11-home-argintiu/cpd/LAP55157910/
"Laptop HUAWEI MateBook D16, Intel Core i5-12450H pana la 4.4GHz, 16"" Full HD, 16GB, SSD 512GB, Intel UHD Graphics, Windows 11 Home, Space Gray",https://altex.ro/laptop-huawei-matebook-d16-intel-core-i5-12450h-pana-la-4-4ghz-16-full-hd-16gb-ssd-512gb-intel-uhd-graphics-windows-11-home-space-gray/cpd/LAP53013DFG/
"Laptop ACER Aspire Vero AV15-51-73S0, Intel Core i7-1195G7 pana la 5.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel Iris Xe, Windows 11 Home, Iron",https://altex.ro/laptop-acer-aspire-vero-av15-51-73s0-intel-core-i7-1195g7-pana-la-5-0ghz-15-6-full-hd-8gb-ssd-512gb-intel-iris-xe-windows-11-home-iron/cpd/LAPNXAYCEX00H/
"Laptop ASUS Vivobook 15 R1500EA-BQ3333, Intel Core i7-1165G7 pana la 4.7GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel Iris Xe, Free DOS, negru",https://altex.ro/laptop-asus-vivobook-15-r1500ea-bq3333-intel-core-i7-1165g7-pana-la-4-7ghz-15-6-full-hd-16gb-ssd-512gb-intel-iris-xe-free-dos-negru/cpd/LAPR1500EBQ3333/
